variable,description,source,name_puf,grow_with
scorp_passive_loss,passive S corp net loss,puf,E26160,gdp
scorp_179,S corp Section 179 deduction,puf,E26100,gdp
wagebill_scorp,owner's share of W2 wages paid in S corp,imputed,NA,gdp_wages
sstb_scorp,whether filer's S corp income comes from a SSTB,puf,imputed,NA
rent,rent/royalty net income,puf,E25850,gdp_rent
rent_loss,rent/royalty net loss,puf,E25860,gdp_rent
estate,estate or trust net income,puf,E26390,gdp_rent
estate_loss,estate or trust net loss,puf,E26400,gdp_rent
farm,net farm income,puf,E02100,gdp_proprietors
farm1,primary filer's share of net farm income,imputed split,NA,gdp_proprietors
farm2,secondary filer's share of net farm income,imputed split,NA,gdp_proprietors
wagebill_farm,owner's share of W2 wages paid in farm business,imputed,NA,gdp_wages
sstb_farm,whether filer's farm income comes from a SSTB,imputed,NA,NA
ui,unemployment insurance income,puf,E02300,gdp_wages
gross_ss,gross OASI benefits,puf,E02400,gdp_wages
nols,net operating losses,imputed,NA,gdp
other_inc,other income,derived,NA,gdp
ed_exp,educator expenses,puf,E03220,gdp
hsa_contr,"health savings account contributions, nonwithheld",puf,E03290,gdp_wages
trad_contr_ira,pretax IRA contributions,puf,E03150,gdp
sl_int_ded,student loan interest dedution,puf,E03210,gdp
keogh_contr,payments to Keough accounts,puf,E03300,gdp_wages
se_health,self-employed health insurance deduction,puf,E03270,gdp_wages
early_penalty,penalty for early withdraw of retirement funds,puf,E03400,gdp
alimony_exp,alimony paid,puf,E03500,gdp_wages
tuition_ded,tuition and fees deduction,puf,E03230,gdp
dpad,domestic production activities deduction,puf,E03240,gdp
char_cash,cash charitable contributions,puf,E19800,gdp
char_noncash,noncash charitable contributions,puf,E20100,gdp
other_above_ded,other above-the-line deductions,imputed,NA,gdp
med_exp,medical expenses for itemizers,puf,E17500,gdp
salt_inc_sales,greater of state and local income or sales tax paid for itemizers,puf,E18400,gdp
salt_prop,state and local real estate tax paid,puf,E18500,gdp
salt_pers,state and local personal property tax paid for itemizers,imputed,NA,gdp
int_exp,total deductible interest expense for itemizers,puf,E19200,gdp_interest
first_mort_bal,balance of first mortgage for itemizers,imputed,NA,gdp
second_mort_bal,balance of second mortgage for itemizers,imputed,NA,gdp
first_mort_year,year when first mortgage was incurred for itemizers,imputed,NA,NA
second_mort_year,year when second mortgage was incurred for itemizers,imputed,NA,NA
first_mort_int,interest paid on first mortgage for itemizers,imputed,NA,gdp_interest
second_mort_int,interest paid on second mortgage for itemizers,imputed,NA,gdp_interest
inv_int_exp,investment interest expense for itemizers,imputed,NA,gdp_interest
casualty_exp,casualty and theft losses for itemizers,puf,E20500,gdp
job_exp,unreimbursed employee expenses for itemizers,puf,E20550,gdp
tax_prep_exp,tax preparation fees for itemizers,puf,E20600,gdp
other_misc_exp,other miscellanous deductions subject to AGI limit for itemizers,puf,E20400,gdp
other_item_exp,other itemized deductions,derived,NA,gdp
amt_nols,AMT NOL preference plus other adjustments,puf,P60100,gdp
amt_ftc,alternative minimum foreign tax credit,puf,E62900,gdp
excess_ptc,excess advance PTC payment after limitation,puf,E85785,gdp
ftc,foreign tax credit,puf,E07300,gdp
care_exp,"Child and Dependent Care Tax Credt qualifying expenses, limited to $3K/$6K",puf,E32800,gdp
aoc_exp,American Opprunity Credit expenses limited to $4K,puf,P87482,gdp
llc_exp,Lifetime Learning Credit expenses,puf,E87530,gdp
old_cred,elderly or disabled credit,puf,E07200,gdp
savers_cred,retirement contribution credit,puf,E07240,gdp
res_energy_cred,residential energy credits,puf,E07260,gdp
gbc,General Business Credit,puf,E07400,gdp
prior_yr_cred,credit for prior year minimum tax,puf,E07600,gdp
other_nonref,other nonrefundable tax credits,puf,P08000,gdp
net_ptc,net Premium Tax Credit,puf,E11560,gdp
recapture_tax,recpature taxes,puf,E09700,gdp
ira_penalty,penalty tax on IRA,puf,E09900,gdp
